XQAOA,MA_QAOA,QAOA,Classical,Geomans_Williamson
912.0,762.8707853201328,762.1259717579819,862.0000027877956,912.0
902.0,762.8707852073171,762.1259717576639,897.9999990806971,890.0
898.0,762.8707852718676,762.1259717573856,883.999980092637,908.0
914.0,762.8707853668604,762.1259717578416,877.9999858115327,884.0
910.0,762.870784162491,762.125971757868,881.9999816499646,896.0
910.0,762.8707846246294,762.1259717578064,861.9999956395026,898.0
902.0,762.8707853236624,762.125971757414,872.0000119297467,882.0
908.0,762.8707859289158,762.1259717572923,885.9999875712723,894.0
908.0,762.8707856341721,762.1259717580496,881.9999976467452,878.0
902.0,762.8707848199135,762.1259717578827,889.9999897159657,894.0
910.0,762.870784352367,762.1259717579724,879.9999656590936,900.0
894.0,762.8707854300616,762.1259717579641,881.9999942799064,916.0
910.0,762.8707836553839,762.1259717578496,887.9999998739681,888.0
908.0,762.8707852790021,639.999999955427,867.9999802910805,896.0
904.0,762.8707849729483,762.12597175316,868.0000356320132,892.0
886.0,762.8707851864807,762.1259717580435,882.0000093469441,886.0
912.0,762.8707855369913,762.125971749972,891.9999721012462,890.0
902.0,762.8707848049826,762.125971757912,881.9999999328996,892.0
894.0,762.8707843875214,762.1259717574477,889.9999894917671,906.0
892.0,762.8707856017197,762.1259717576099,889.9999986770774,900.0
906.0,762.8707852674647,762.1259717577009,873.9999996165765,910.0
912.0,762.8707850171327,640.000000000003,905.9999985629804,902.0
896.0,762.8707848705535,640.000079912738,891.9999716253183,886.0
904.0,762.8707833617747,762.1259717576911,873.9999982736242,894.0
896.0,762.8707857395575,762.1259717580197,885.9999994422761,900.0
910.0,762.8707854308005,762.1259717577447,877.9999994463368,876.0
906.0,762.870785457857,762.125971756971,865.9999451161191,882.0
910.0,762.8707849877505,640.0000000000001,889.9999948852687,894.0
912.0,762.8707841576371,762.1259717580624,889.9999992638426,884.0
898.0,762.8707854939229,762.1259717578613,879.9999956662649,888.0
900.0,762.8707840118914,762.1259717579958,877.9999969987844,896.0
896.0,762.8707855577208,640.0,871.9999991378103,900.0
898.0,762.8707855371291,762.1259717567059,867.9999915992482,888.0
890.0,762.870785643221,762.1259717579599,885.9999959847734,884.0
912.0,762.8707836338252,762.1259717580075,885.9999964125793,906.0
906.0,762.8707845898717,762.1259717580705,877.9999931054518,888.0
896.0,762.8707836209362,762.1259717542742,891.9999999079665,898.0
896.0,762.8707854858509,762.1259717574798,893.9999883137615,908.0
890.0,762.8707853180174,640.0000044901357,877.9999984366793,890.0
894.0,762.8707858874046,762.1259717576451,877.9999417774114,880.0
898.0,762.8707835570295,639.9999949363265,887.9999995497137,900.0
902.0,762.8707851464796,762.1259717579767,874.00001301732,896.0
902.0,762.8707851984702,640.0000000004947,865.9999971588356,884.0
888.0,762.8707855384708,762.1259717578547,885.9999933666033,894.0
904.0,762.8707850541143,762.1259717580361,859.9999996852515,882.0
898.0,762.8707850940771,762.1259717580386,865.9999959851987,894.0
898.0,762.8707855209128,762.12597175801,857.9999904307541,884.0
908.0,762.8707850476796,639.9999997464062,867.9999746441504,892.0
890.0,762.8707839717946,762.1259717575723,895.9999943777381,882.0
902.0,762.8707856221063,640.0,885.9999806957142,900.0
902.0,762.8707832829551,639.9999999999999,891.9999991320273,886.0
904.0,762.870785635926,762.1259717580697,883.9999995064633,900.0
