XQAOA,MA_QAOA,QAOA,Classical,Geomans_Williamson,QAOA*
172.0,137.61880106621902,132.7842512278443,165.9999999703551,170.0,132.7842512278462
174.0,139.96410085489666,132.78425122784216,162.99999993175174,165.0,132.7842512278462
170.0,138.04145015391904,132.7842512278406,160.99999986828604,166.0,132.7842512278462
170.0,138.19615217923106,132.78425122773794,162.99999999457347,168.0,132.7842512278462
171.0,138.88675108754109,132.78425122784526,163.99999998703643,171.0,132.7842512278462
167.0,139.3093998905632,132.78425122784472,159.9999987644294,172.0,132.7842512278462
171.0,138.30940049002942,132.78425122783952,165.99999998653306,168.0,132.7842512278462
167.0,138.4641015164619,132.7842512273874,168.9999999992061,164.0,132.7842512278462
168.0,139.23205058243258,132.78425122781982,168.9999999557868,171.0,132.7842512278462
166.0,140.49999981697724,132.78425122784597,167.9999999710701,175.0,132.7842512278462
168.0,138.85085278831676,132.78425122784515,171.9999999895239,167.0,132.7842512278462
169.0,139.80940069158055,132.78425122782264,158.99999999164515,168.0,132.7842512278462
167.0,138.96409860873118,132.7842512278409,168.99999883597573,173.0,132.7842512278462
168.0,137.69617387345417,132.7842512278461,167.9999999853474,173.0,132.7842512278462
168.0,139.46410122288083,132.78425122784577,162.99999994762035,171.0,132.7842512278462
173.0,137.3508477980394,132.78425122778785,165.9999998946725,169.0,132.7842512278462
167.0,138.04145156812655,132.78425122760513,160.99999999414987,169.0,132.7842512278462
167.0,139.23205037330922,132.78425122773152,166.99999998494127,171.0,132.7842512278462
171.0,137.1961520651077,132.78425122784546,161.99999999799218,175.0,132.7842512278462
171.0,138.80940047968636,132.78425122784367,167.9999998517847,171.0,132.7842512278462
167.0,138.88674977500497,132.78425122769275,165.9999999958301,174.0,132.7842512278462
167.0,139.8867511254034,132.7842512278449,168.99999997303507,171.0,132.7842512278462
169.0,139.6547002473462,132.78425122784492,159.99999996595028,173.0,132.7842512278462
168.0,138.54145147291635,132.78425122783565,162.99999995423093,176.0,132.7842512278462
168.0,139.6961522085679,132.7842512275955,160.99999999852943,171.0,132.7842512278462
169.0,137.85085281398594,132.78425122784483,164.99999999398358,166.0,132.7842512278462
167.0,139.11881436012334,132.78425122784515,160.99999995663885,168.0,132.7842512278462
171.0,139.65469679368394,132.78425122780249,163.999999926892,167.0,132.7842512278462
171.0,138.65470028529302,95.99999999999812,164.9999998520772,173.0,132.7842512278462
165.0,138.35086326276155,132.78425122784606,161.99999998597016,172.0,132.7842512278462
167.0,139.38675096097046,132.784251227845,158.99999997266872,168.0,132.7842512278462
167.0,138.35085273036847,132.78425122777148,162.99999999591358,169.0,132.7842512278462
167.0,138.96410149337902,132.78425122784338,168.99999997902137,171.0,132.7842512278462
168.0,138.38675413249493,132.78425122783696,161.99999997018227,172.0,132.7842512278462
168.0,138.96410128802071,132.7842512278441,164.999999995839,171.0,132.7842512278462
170.0,139.65470034967498,132.78425122696308,162.99999999702158,176.0,132.7842512278462
166.0,138.46410091103726,132.78425122784557,161.99999976127742,175.0,132.7842512278462
171.0,138.541450050828,132.78425122783997,165.9999999908084,166.0,132.7842512278462
168.0,138.96410031908326,132.78425122784537,160.99999999183882,171.0,132.7842512278462
164.0,138.46410120416903,96.0,163.99999998809167,165.0,132.7842512278462
165.0,138.80939989581046,132.78425122784412,160.99999987863882,170.0,132.7842512278462
169.0,138.1961521870078,132.78425122780232,158.99999988123588,172.0,132.7842512278462
168.0,138.0414515505056,132.78425122784492,165.99999991060972,173.0,132.7842512278462
165.0,137.8867506706967,132.78425122783068,160.99999998330202,171.0,132.7842512278462
169.0,138.30940088909287,132.7842512278263,165.999999989987,172.0,132.7842512278462
174.0,138.80940068812092,132.78425122766316,166.9999999598024,176.0,132.7842512278462
173.0,138.80940083664566,132.78425122784384,167.9999999922213,170.0,132.7842512278462
168.0,138.1188020211442,95.99999999999744,164.9999999632268,166.0,132.7842512278462
167.0,139.964101189423,132.78425122784563,169.999999864367,169.0,132.7842512278462
173.0,138.04145162712558,132.78425122784537,166.99999998978316,175.0,132.7842512278462
170.0,137.42820289656973,132.7842512278445,162.99999997659847,170.0,132.7842512278462
167.0,138.04145146287755,132.7842512278436,160.99999989382263,173.0,132.7842512278462
