XQAOA,MA_QAOA,QAOA,Classical,Geomans_Williamson,QAOA*
414.0,348.1965231445652,338.61304520889115,403.9999997216954,416.0,338.6130452089141
420.0,347.61399174012865,338.61304520890496,403.9999941341885,422.0,338.6130452089141
430.0,344.7894221912289,338.6130452085898,407.9999957911953,422.0,338.6130452089141
424.0,346.11400703295453,338.6130452088642,403.9999987405213,418.0,338.6130452089141
420.0,347.72724070793504,338.613045208905,391.99999927064965,428.0,338.6130452089141
424.0,346.38895254684564,338.6130452089025,403.9999932249152,418.0,338.6130452089141
406.0,347.1191736425875,255.99999990585133,409.9999975541326,416.0,338.6130452089141
418.0,349.80977187376106,255.9999999274428,403.9999985816149,428.0,338.6130452089141
416.0,349.0418229526556,338.6130452086504,403.99999983681175,416.0,338.6130452089141
424.0,345.1091826093633,338.61304520885767,398.0000000006887,420.0,338.6130452089141
410.0,347.5418232414694,338.61304520889803,403.9999826263695,426.0,338.6130452089141
416.0,345.6191748142724,338.6130452088486,403.9999985888372,424.0,338.6130452089141
422.0,347.0729126377694,338.6130452088372,411.99999974869377,418.0,338.6130452089141
422.0,346.9233927979143,338.6130452086623,399.9999983882624,424.0,338.6130452089141
418.0,348.5729168696035,338.613045208889,398.00000528947305,436.0,338.6130452089141
420.0,347.505925255444,255.99999988000715,400.0000077851772,416.0,338.6130452089141
424.0,346.5007568498624,338.6130452079869,399.9999989042424,420.0,338.6130452089141
416.0,347.69133822820135,338.6130452088935,403.9999992032497,424.0,338.6130452089141
424.0,345.6191679373379,338.61304520888245,395.999997761458,422.0,338.6130452089141
416.0,346.8512245140488,338.6130452088618,415.9999998804051,428.0,338.6130452089141
416.0,346.65545174166186,338.6130452089022,401.99999594700967,418.0,338.6130452089141
424.0,346.0677320256419,338.61304520882425,399.9999996873568,430.0,338.6130452089141
422.0,346.54700493047545,338.6130452088978,397.9999900376371,434.0,338.6130452089141
414.0,346.8460432101784,338.6130452089064,399.9999977869147,416.0,338.6130452089141
424.0,348.5366417024117,338.6130452088293,401.99999854751576,422.0,338.6130452089141
424.0,346.86676903075005,338.6130452068125,407.999999231675,430.0,338.6130452089141
422.0,348.1913333889873,338.6130452088929,385.9999981110614,420.0,338.6130452089141
426.0,346.74315695298645,338.6130452088871,405.99999749716767,420.0,338.6130452089141
420.0,346.8819416302708,338.6130452088911,411.999999112306,434.0,338.6130452089141
406.0,348.6569007564443,338.6130452086232,405.9999972376037,424.0,338.6130452089141
424.0,347.7686928444037,338.6130452088944,404.00000113665305,420.0,338.6130452089141
416.0,347.91821130944,338.6130452088775,409.9999867087732,428.0,338.6130452089141
424.0,346.29459944073204,338.6130452088297,415.9999999024741,432.0,338.6130452089141
420.0,347.2635062130552,338.61304520887575,395.9999997520344,430.0,338.6130452089141
428.0,347.0832754643923,338.6130452072256,391.99999643865794,410.0,338.6130452089141
430.0,348.34606654801735,255.9999999415296,412.0000157679197,418.0,338.6130452089141
420.0,348.6088099929586,338.6130452089055,413.9999991940101,426.0,338.6130452089141
424.0,347.25832846803814,338.6130452089049,403.9999957916601,430.0,338.6130452089141
424.0,347.0729332852247,338.6130452089048,399.99998778788415,428.0,338.6130452089141
420.0,347.11917547312567,338.6130452088672,397.9999924354403,422.0,338.6130452089141
430.0,346.38231363558555,338.613045208704,400.00000038584295,426.0,338.6130452089141
416.0,346.2686901392768,338.6130452088945,393.9999971747748,414.0,338.6130452089141
422.0,346.6554442307976,338.6130452088927,403.9999997017803,422.0,338.6130452089141
416.0,345.9596706835253,338.6130452088143,405.99999923963423,416.0,338.6130452089141
422.0,347.4644728597518,338.61304520840383,393.9999994984575,428.0,338.6130452089141
422.0,347.8045878635989,338.61304520888143,405.99999879171776,424.0,338.6130452089141
412.0,344.8460731237457,338.6130452074965,405.9999997199639,418.0,338.6130452089141
418.0,348.50592496196754,338.61304520884323,407.99999849733086,420.0,338.6130452089141
424.0,346.3408610177167,338.613045208884,399.9999978235039,416.0,338.6130452089141
424.0,347.3356800972061,338.6130452089116,403.9999989028351,416.0,338.6130452089141
412.0,347.8101448842146,338.61304520890883,405.999982259193,410.0,338.6130452089141
420.0,346.5677305938276,338.6130452087186,407.9999935790252,420.0,338.6130452089141
424.0,347.0418179077981,338.61304520886216,403.9999935314775,430.0,338.6130452089141
424.0,347.3819408127082,338.61304520883925,407.9999988020701,426.0,338.6130452089141
422.0,345.5370134798496,338.61304520884624,409.99999314480704,432.0,338.6130452089141
424.0,345.76869146912884,255.99999997046152,391.9999986225355,424.0,338.6130452089141
418.0,348.2583303382963,338.6130452088059,401.9999990577508,424.0,338.6130452089141
426.0,346.4644728634386,338.6130452088909,403.9999971868258,432.0,338.6130452089141
416.0,346.64508239103446,338.6130452087398,403.999999539077,420.0,338.6130452089141
424.0,347.22243142856667,338.613045208896,405.9999972898272,426.0,338.6130452089141
428.0,346.72243158230776,338.6130452089141,401.99999571909393,424.0,338.6130452089141
418.0,345.34604636116256,338.61304520889,395.999995143142,426.0,338.6130452089141
422.0,348.005555659393,338.61304520885164,401.99999944518,418.0,338.6130452089141
408.0,347.12954499852054,338.61304520885744,405.9999961223357,416.0,338.6130452089141
412.0,345.38712235033944,338.61304520888484,407.9999995656051,430.0,338.6130452089141
422.0,348.3408616342824,338.61304520872187,391.99999866310617,414.0,338.6130452089141
422.0,346.00074281904614,338.6130452089057,405.9999922668756,426.0,338.6130452089141
418.0,347.30459068316003,338.6130452089015,401.99999532360886,434.0,338.6130452089141
414.0,347.346042848158,338.6130452086512,395.9999952588241,428.0,338.6130452089141
422.0,348.0729123562797,338.61304520872363,395.99999797879286,424.0,338.6130452089141
420.0,346.12435447994653,338.6130452088871,423.9999999490538,428.0,338.6130452089141
422.0,346.3098039036835,338.6130452088967,407.9999922353653,428.0,338.6130452089141
420.0,344.76906635892675,338.61304520891173,419.9999980393136,436.0,338.6130452089141
420.0,347.5007437073995,338.6130452078282,389.9999905333679,432.0,338.6130452089141
424.0,345.3101469999234,338.6130452089092,409.99999946388215,428.0,338.6130452089141
414.0,347.14508426032927,338.6130452088947,399.9999996741796,430.0,338.6130452089141
412.0,347.27387377103537,338.6130452089108,397.9999954229553,416.0,338.6130452089141
420.0,347.469654302728,338.6130452088961,411.9999988219489,422.0,338.6130452089141
420.0,347.8771315016761,338.61304520889763,399.9999943302018,414.0,338.6130452089141
420.0,346.77905561952525,338.61304520889803,403.99999549743217,422.0,338.6130452089141
418.0,347.655444062385,338.61304520887705,401.9999989255254,428.0,338.6130452089141
416.0,347.54182314625524,338.61304520886705,399.9999943042949,432.0,338.6130452089141
412.0,346.94930059243256,338.613045208902,409.9999981416802,422.0,338.6130452089141
416.0,347.1965232269189,338.6130452088836,407.99999925510303,432.0,338.6130452089141
